,Words,P-Value,Frequency
0,booked,3.018646326217677e-51,10
1,bedroom,1.2276344138838127e-34,8
2,bluetooth,1.2276344138838127e-34,9
3,fast,1.1782985987889675e-31,16
4,tenerife,2.0061601352339507e-27,7
5,black,1.4499690287009112e-25,8
6,waiting,3.572650361012643e-20,52
7,etc,2.1963374570998167e-18,12
8,charged,1.3371796304476267e-16,11
9,life,1.3371796304476267e-16,71
10,wif,1.3371796304476267e-16,26
11,area,1.0395839032633398e-15,12
12,sex,1.0395839032633398e-15,13
13,class,8.062732258150143e-15,44
14,clean,8.062732258150143e-15,10
15,comin,8.062732258150143e-15,11
16,kate,8.062732258150143e-15,11
17,sat,8.062732258150143e-15,30
18,special,8.062732258150143e-15,48
19,wednesday,8.062732258150143e-15,8
20,okie,1.6439875992869288e-14,17
21,every,6.238213929340072e-14,66
22,heart,6.238213929340072e-14,45
23,plan,6.238213929340072e-14,43
24,run,6.238213929340072e-14,26
25,statement,6.238213929340072e-14,18
26,biz,6.238213929340072e-14,7
27,book,4.81499733177494e-13,25
28,cheap,4.81499733177494e-13,10
29,cut,4.81499733177494e-13,11
30,saturday,4.81499733177494e-13,16
31,sea,4.81499733177494e-13,15
32,start,4.81499733177494e-13,41
33,tomorrow,4.81499733177494e-13,90
34,town,4.81499733177494e-13,28
35,abiola,3.707592683068283e-12,11
36,bos,3.707592683068283e-12,9
37,felt,3.707592683068283e-12,13
38,new,3.707592683068283e-12,133
39,weekend,3.707592683068283e-12,40
40,worse,3.707592683068283e-12,7
41,yes,3.707592683068283e-12,103
42,side,6.349294631376521e-12,13
43,asap,2.848069415159259e-11,11
44,birthday,2.848069415159259e-11,29
45,boytoy,2.848069415159259e-11,16
46,enter,2.848069415159259e-11,12
47,news,2.848069415159259e-11,19
48,saw,2.848069415159259e-11,24
49,say,2.848069415159259e-11,113
50,sexy,2.848069415159259e-11,25
51,xmas,2.848069415159259e-11,21
52,eating,2.848069415159259e-11,7
53,almost,2.1825998039982498e-10,13
54,apartment,2.1825998039982498e-10,8
55,next,2.1825998039982498e-10,60
56,reaching,2.1825998039982498e-10,8
57,wanted,2.1825998039982498e-10,25
58,able,1.66864915670366e-09,26
59,charge,1.66864915670366e-09,22
60,company,1.66864915670366e-09,18
61,lovable,1.66864915670366e-09,11
62,old,1.66864915670366e-09,20
63,pizza,1.66864915670366e-09,8
64,pray,1.66864915670366e-09,10
65,rental,1.66864915670366e-09,12
66,saying,1.66864915670366e-09,19
67,school,1.66864915670366e-09,26
68,second,1.66864915670366e-09,20
69,silent,1.66864915670366e-09,9
70,slave,1.66864915670366e-09,8
71,snow,1.66864915670366e-09,12
72,specially,1.66864915670366e-09,9
73,stand,1.66864915670366e-09,9
74,worry,1.66864915670366e-09,32
75,sigh,1.66864915670366e-09,7
76,press,2.305865154171604e-09,13
77,account,1.272699041228507e-08,37
78,around,1.272699041228507e-08,57
79,bathe,1.272699041228507e-08,10
80,busy,1.272699041228507e-08,21
81,currently,1.272699041228507e-08,13
82,lot,1.272699041228507e-08,54
83,loved,1.272699041228507e-08,10
84,mean,1.272699041228507e-08,46
85,mon,1.272699041228507e-08,9
86,phone,1.272699041228507e-08,135
87,read,1.272699041228507e-08,15
88,stay,1.272699041228507e-08,25
89,train,1.272699041228507e-08,11
90,user,1.272699041228507e-08,9
91,winner,1.272699041228507e-08,16
92,ntt,1.6172731659432695e-08,10
93,office,1.6172731659432695e-08,31
94,brother,5.42277728571431e-08,21
95,orange,8.55080435096145e-08,31
96,bank,9.684083748712634e-08,12
97,bath,9.684083748712634e-08,10
98,car,9.684083748712634e-08,46
99,crazy,9.684083748712634e-08,14
100,early,9.684083748712634e-08,31
101,enough,9.684083748712634e-08,29
102,face,9.684083748712634e-08,20
103,important,9.684083748712634e-08,25
104,mayb,9.684083748712634e-08,13
105,maybe,9.684083748712634e-08,31
106,men,9.684083748712634e-08,10
107,mths,9.684083748712634e-08,16
108,never,9.684083748712634e-08,41
109,number,9.684083748712634e-08,101
110,pay,9.684083748712634e-08,27
111,reply,9.684083748712634e-08,136
112,south,9.684083748712634e-08,8
113,term,9.684083748712634e-08,15
114,wit,9.684083748712634e-08,13
115,worried,9.684083748712634e-08,10
116,yahoo,9.684083748712634e-08,8
117,cuz,9.684083748712634e-08,7
118,apply,7.351328964510257e-07,32
119,coffee,7.351328964510257e-07,8
120,collect,7.351328964510257e-07,28
121,contact,7.351328964510257e-07,70
122,darren,7.351328964510257e-07,11
123,dead,7.351328964510257e-07,9
124,deal,7.351328964510257e-07,10
125,decided,7.351328964510257e-07,16
126,fat,7.351328964510257e-07,8
127,found,7.351328964510257e-07,16
128,library,7.351328964510257e-07,8
129,movie,7.351328964510257e-07,27
130,mum,7.351328964510257e-07,20
131,nice,7.351328964510257e-07,59
132,online,7.351328964510257e-07,22
133,ppm,7.351328964510257e-07,49
134,ppmx,7.351328964510257e-07,8
135,present,7.351328964510257e-07,8
136,price,7.351328964510257e-07,27
137,princess,7.351328964510257e-07,32
138,reveal,7.351328964510257e-07,10
139,reward,7.351328964510257e-07,9
140,rply,7.351328964510257e-07,11
141,seen,7.351328964510257e-07,12
142,sister,7.351328964510257e-07,18
143,slept,7.351328964510257e-07,8
144,text,7.351328964510257e-07,200
145,thanx,7.351328964510257e-07,32
146,training,7.351328964510257e-07,8
147,watch,7.351328964510257e-07,32
148,whatever,7.351328964510257e-07,15
149,without,7.351328964510257e-07,22
150,yup,7.351328964510257e-07,43
151,fault,7.351328964510257e-07,7
152,receipt,7.351328964510257e-07,7
153,pls,7.69757371894625e-07,110
154,eye,3.3997988585269755e-06,12
155,ask,5.567369371705285e-06,83
156,bout,5.567369371705285e-06,15
157,card,5.567369371705285e-06,18
158,check,5.567369371705285e-06,39
159,checking,5.567369371705285e-06,11
160,complete,5.567369371705285e-06,8
161,congratulation,5.567369371705285e-06,16
162,decide,5.567369371705285e-06,9
163,detail,5.567369371705285e-06,28
164,direct,5.567369371705285e-06,12
165,dogging,5.567369371705285e-06,8
166,drink,5.567369371705285e-06,23
167,energy,5.567369371705285e-06,8
168,everything,5.567369371705285e-06,28
169,exam,5.567369371705285e-06,15
170,extra,5.567369371705285e-06,12
171,food,5.567369371705285e-06,22
172,gave,5.567369371705285e-06,10
173,gay,5.567369371705285e-06,9
174,hello,5.567369371705285e-06,44
175,holiday,5.567369371705285e-06,47
176,inc,5.567369371705285e-06,8
177,job,5.567369371705285e-06,45
178,joke,5.567369371705285e-06,11
179,kiss,5.567369371705285e-06,32
180,line,5.567369371705285e-06,46
181,meet,5.567369371705285e-06,82
182,meeting,5.567369371705285e-06,43
183,must,5.567369371705285e-06,27
184,muz,5.567369371705285e-06,10
