,Words,P-Value,Frequency
0,call claim code,8.062732258150143e-15,16
1,call claim contact,6.238213929340072e-14,15
2,code expires identifier,6.238213929340072e-14,15
3,expires identifier point,6.238213929340072e-14,15
4,guaranteed land line,6.238213929340072e-14,15
5,identifier point private,6.238213929340072e-14,15
6,box call cash,4.81499733177494e-13,14
7,tell tone txt,4.81499733177494e-13,14
8,call cash claim,3.707592683068283e-12,13
9,account call code,2.848069415159259e-11,12
10,call code expires,2.848069415159259e-11,12
11,contact draw guaranteed,2.848069415159259e-11,12
12,point private redeemed,2.848069415159259e-11,12
13,private redeemed show,2.848069415159259e-11,12
14,redeemed show statement,2.848069415159259e-11,12
15,await box call,2.1825998039982498e-10,11
16,call cash collection,2.1825998039982498e-10,11
17,every free get,2.1825998039982498e-10,11
18,cash collection complimentary,1.66864915670366e-09,10
19,prize representative service,1.66864915670366e-09,10
20,reveal secret special,1.66864915670366e-09,10
21,row send suite,1.66864915670366e-09,10
22,trying urgent valid,1.66864915670366e-09,10
23,draw guaranteed land,1.272699041228507e-08,9
24,land line prize,1.272699041228507e-08,9
25,line prize show,1.272699041228507e-08,9
26,phone price rental,1.272699041228507e-08,9
27,prize show today,1.272699041228507e-08,9
28,show today trying,1.272699041228507e-08,9
29,admirer call contact,9.684083748712634e-08,8
30,bluetooth call double,9.684083748712634e-08,8
31,bonus box call,9.684083748712634e-08,8
32,box call caller,9.684083748712634e-08,8
33,call camera colour,9.684083748712634e-08,8
34,call contact find,9.684083748712634e-08,8
35,claim contact draw,9.684083748712634e-08,8
36,collection complimentary holiday,9.684083748712634e-08,8
37,contact find looking,9.684083748712634e-08,8
38,find looking make,9.684083748712634e-08,8
39,ldew music ppmx,9.684083748712634e-08,8
40,line mobile number,9.684083748712634e-08,8
41,today trying urgent,9.684083748712634e-08,8
42,awarded call claim,7.351328964510257e-07,7
43,call claim guaranteed,7.351328964510257e-07,7
44,customer mobile number,7.351328964510257e-07,7
45,entry free gift,7.351328964510257e-07,7
46,free get getzed,7.351328964510257e-07,7
47,free latest mobile,7.351328964510257e-07,7
48,land line mobile,7.351328964510257e-07,7
49,latest mobile mths,7.351328964510257e-07,7
50,looking make reveal,7.351328964510257e-07,7
51,make reveal secret,7.351328964510257e-07,7
52,min network new,7.351328964510257e-07,7
53,mobile new nokia,7.351328964510257e-07,7
54,nokia norm pobox,7.351328964510257e-07,7
55,norm pobox tell,7.351328964510257e-07,7
56,please ppm sae,7.351328964510257e-07,7
57,pobox tell tone,7.351328964510257e-07,7
58,prize urgent valid,7.351328964510257e-07,7
59,stop text tone,7.351328964510257e-07,7
