,Words,P-Value,Frequency
0,call,8.592669256387469e-212,568
1,txt,2.607955898085331e-131,168
2,free,3.0626454208138257e-116,233
3,claim,2.215404964142815e-102,109
4,mobile,1.877528385726072e-98,139
5,www,7.043552090947629e-88,100
6,prize,9.816471632616398e-81,87
7,text,1.6266608880894724e-65,200
8,stop,4.3683509784819346e-63,142
9,service,2.337340510363739e-58,76
10,reply,3.6102797749190065e-54,136
11,win,5.175297352062628e-51,80
12,tone,2.5832775959172524e-50,55
13,urgent,3.3993410544312544e-48,69
14,cash,1.3010785786961635e-47,78
15,min,1.0869314094195085e-46,122
16,guaranteed,1.1397741152472885e-45,50
17,box,1.2433238555587123e-45,62
18,nokia,4.475738711637733e-45,57
19,ppm,9.601489041450305e-45,49
20,com,1.4175440377653448e-39,74
21,pobox,2.6883598385272586e-38,42
22,contact,1.0648776383054173e-37,70
23,customer,6.598246800956063e-37,60
24,awarded,1.2276344138838127e-34,38
25,rate,1.1782985987889675e-31,42
26,voucher,2.66249668137026e-31,37
27,draw,8.65738823512743e-30,44
28,per,2.93506971902081e-29,58
29,land,1.3026067943787823e-28,34
30,landline,2.628018628746529e-28,36
31,latest,3.8236984792168225e-28,38
32,new,5.1467311959911155e-27,133
33,offer,1.5811099822773524e-26,44
34,ringtone,1.815546613918745e-26,29
35,code,6.182844013544022e-26,31
36,line,3.5258704489480353e-25,46
37,apply,8.700477659928007e-25,32
38,video,8.700477659928007e-25,32
39,camera,1.1508914697509618e-24,34
40,valid,1.1551424410442309e-24,27
41,msg,1.4514742391040563e-24,125
42,collection,9.179951493600887e-24,26
43,mob,9.179951493600887e-24,26
44,chat,3.683139348930243e-23,52
45,orange,4.428955620807866e-22,31
46,weekly,5.754986079087231e-22,24
47,receive,2.6554852642450534e-21,34
48,network,3.1148680461731154e-21,32
49,cost,4.525919505658645e-21,46
50,entry,4.539921586693595e-21,23
51,optout,4.539921586693595e-21,23
52,week,1.5360401776683387e-20,124
53,national,3.572650361012643e-20,22
54,bonus,2.8046150534610596e-19,21
55,http,2.8046150534610596e-19,21
56,sae,2.8046150534610596e-19,21
57,selected,1.0306615394763538e-18,29
58,holiday,3.859404284917696e-18,47
59,pound,7.022912233036494e-18,28
60,attempt,7.60991935188709e-18,24
61,chance,3.0600536872286204e-17,41
62,award,4.0515815648790725e-17,21
63,delivery,4.0515815648790725e-17,21
64,please,5.1897948107089513e-17,130
65,unsubscribe,1.3371796304476267e-16,18
66,collect,2.3352934593456735e-16,28
67,send,2.3463536280055985e-16,194
68,show,2.9251335698034097e-16,61
69,await,3.0144568102116154e-16,20
70,phone,4.010809460679349e-16,135
71,dating,1.0395839032633398e-15,17
72,expires,1.0395839032633398e-15,17
73,opt,1.0395839032633398e-15,17
74,poly,1.0395839032633398e-15,17
75,age,1.192129132691488e-15,34
76,private,2.231881728887115e-15,19
77,music,2.6365173847318604e-15,23
78,gbp,8.062732258150143e-15,16
79,identifier,8.062732258150143e-15,16
80,ltd,8.062732258150143e-15,16
81,mobileupd,8.062732258150143e-15,16
82,winner,8.062732258150143e-15,16
83,info,1.960655896423917e-14,20
84,camcorder,6.238213929340072e-14,15
85,operator,6.238213929340072e-14,15
